"customer_status_code"|"customer_status_desc_en"|"customer_status_desc_th"|"last_upd_date"
"AI"|"Accredited Investor (AI)"|"ผู้ลงทุนมิใช่รายย่อย"|"2020-04-07 09:15:59"
"II"|"Institution investor"|"ผู้ลงทุนสถาบัน"|"2020-04-07 09:15:59"
"UHNW"|"Ultra High Net Worth (UHNW)"|"ผู้ลงทุนรายใหญ่พิเศษ"|"2020-04-07 09:15:59"
"HNW"|"High Net Worth (HNW)"|"ผู้ลงทุนรายใหญ่"|"2020-04-07 09:15:59"
"RI"|"Retail investor"|"ผู้ลงทุนรายย่อย"|"2020-04-07 09:15:59"
"OT"|"Other Investor"|"ผู้ลงทุนอื่น"|"2020-04-07 09:15:59"
