"transaction_purpose_code"|"transaction_purpose_desc_en"|"transaction_purpose_desc_th"|"last_upd_date"
"21"|"Withdraw (Fiat money)"|"ถอน (สกุลเงินทั่วไป)"|"2020-04-08 04:33:39"
"32"|"Outgoing Transfer (Cryptocurrency)"|"โอน(ถอน) คริปโตเคอร์เรนซี"|"2020-04-08 04:33:39"
"42"|"Incoming Transfer (Cryptocurrency)"|"รับโอน(ฝาก) คริปโตเคอร์เรนซี"|"2020-04-08 04:33:39"
"43"|"Incoming Transfer (Digital token)"|"รับโอน(ฝาก) โทเคนดิจิทัล"|"2020-04-08 04:33:39"
"33"|"Outgoing Transfer (Digital token)"|"โอน(ถอน) โทเคนดิจิทัล"|"2020-04-08 04:33:39"
"11"|"Deposit (Fiat money)"|"ฝาก (สกุลเงินทั่วไป)"|"2020-04-08 04:33:39"
"41"|"Incoming Transfer (Fiat money)"|"รับโอนเงิน (สกุลเงินทั่วไป)"|"2020-04-08 04:33:39"
"31"|"Outgoing Transfer (Fiat money)"|"โอนเงิน (สกุลเงินทั่วไป)"|"2020-04-08 04:33:39"
